タイムスタンプ,日時,イベント種別,アクター,ファイルID,ファイル名,宛先,配信モード,理由,サイズ(bytes),ステータス,メタデータ
2025-11-02T00:35:21.705Z,2025/11/02 00:35:21,メール送信,,14faafff-bcc2-49ab-8515-f3c88410813c,test-small.txt,test@138io.com,リンク送付,sandbox_link_forced,49,成功,
2025-11-02T00:36:06.803Z,2025/11/02 00:36:06,メール送信,,2cd172f6-9e6a-4785-8fed-401ce88c21c2,test-small.txt,test@example.com,リンク送付,sandbox_link_forced,49,成功,
2025-11-02T01:23:54.456Z,2025/11/02 01:23:54,メール送信,,896c10e1-bc1f-4119-883c-b0bd0693a422,test-phase40.txt,test@138io.com,リンク送付,sandbox_link_forced,20,成功,
2025-11-02T01:23:54.615Z,2025/11/02 01:23:54,ファイルアップロード,,896c10e1-bc1f-4119-883c-b0bd0693a422,test-phase40.txt,test@138io.com,リンク送付,sandbox_link_forced,20,成功,
2025-11-02T09:02:44.118Z,2025/11/02 09:02:44,メール送信,,d53010bf-88e4-4182-acd7-892fa691aea9,test-small.txt,datagate@138io.com,リンク送付,sandbox_link_forced,49,成功,
2025-11-02T09:02:44.277Z,2025/11/02 09:02:44,,,d53010bf-88e4-4182-acd7-892fa691aea9,test-small.txt,,リンク送付,sandbox_link_forced,49,,
,,ダウンロード成功,datagate@138io.com,8579ec9a-b1fc-436a-892f-9cb6c0d3b173,test-file.txt,,,,86,,
,,ダウンロード成功,datagate@138io.com,d41ec217-4eff-4a51-886f-0c22c8836458,test-phase47-final.txt,,,,48,,
,,ダウンロード成功,datagate@138io.com,d41ec217-4eff-4a51-886f-0c22c8836458,test-phase47-final.txt,,,,48,,
,,ダウンロード成功,datagate@138io.com,afa7fedf-2b77-4b48-bb92-ccee82487ce3,test-phase47-final.txt,,,,42,,
,,ダウンロード成功,datagate@138io.com,96e2f913-143e-4c6a-8734-822eb835c17c,test-outlook-20251106-144609.txt,,,,961,,
,,ダウンロード成功,datagate@138io.com,96e2f913-143e-4c6a-8734-822eb835c17c,test-outlook-20251106-144609.txt,,,,961,,
,,ダウンロード成功,datagate@outlook.jp,cd6a7fbb-f3c5-47ac-9523-9cd0d6520470,test-outlook-20251106-150244.txt,,,,961,,
,,ダウンロード成功,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,,77,,
,,ダウンロード成功,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,,77,,
